Prscrbr_NPI,Physician_Name,Specialty,City,State,Sales_Rep,Sales_Rep_Name,Territory,HCP_Tier,Target_Calls,Actual_Calls,Samples_Dropped
1001000226,Dr. Sarah Thompson,Neurology,Los Angeles,CA,REP-H154,Hazel Sterling,TERR-H06,2,4,2,0
1001000227,Dr. Barbara Johnson,Oncology,Philadelphia,PA,REP-H382,Harold Carrington,TERR-H06,2,5,2,2
1001000228,Dr. Lisa Mitchell,Neurology,Charlotte,NC,REP-H207,Heather Bishop,TERR-H11,2,9,3,2
1001000229,Dr. Thomas Hall,Pain Management,Columbus,OH,REP-H225,Henry Sinclair,TERR-H05,2,2,2,2
1001000230,Dr. William Jackson,Pain Management,New York,NY,REP-H285,Henry Gallagher,TERR-H05,2,16,10,4
1001000231,Dr. Elizabeth Hall,Oncology,Denver,CO,REP-H312,Hilary Kensington,TERR-H08,3,6,4,2
1001000232,Dr. Sarah Campbell,Orthopedics,Atlanta,GA,REP-H231,Hugh Sinclair,TERR-H11,3,2,1,1
1001000233,Dr. Deborah Perez,Pain Management,Denver,CO,REP-H363,Howard Whitman,TERR-H11,2,7,5,1
1001000234,Dr. Linda Ramirez,Anesthesiology,Houston,TX,REP-H296,Hayden Gallagher,TERR-H04,2,5,2,1
1001000235,Dr. Richard Miller,Oncology,Denver,CO,REP-H303,Howard Kensington,TERR-H11,1,16,7,1
1001000236,Dr. Stephanie Rivera,Family Practice,Seattle,WA,REP-H305,Henry Kensington,TERR-H01,2,4,3,2
1001000237,Dr. Jessica Lewis,Oncology,Philadelphia,PA,REP-H386,Holly Carrington,TERR-H10,2,12,8,8
1001000238,Dr. Barbara Brown,Pain Management,Atlanta,GA,REP-H101,Helen Vance,TERR-H01,2,7,5,3
1001000239,Dr. Kathleen Campbell,Oncology,Miami,FL,REP-H334,Hazel Thornton,TERR-H06,1,14,12,7
1001000240,Dr. Robert White,Family Practice,Portland,OR,REP-H196,Hayden Monroe,TERR-H12,2,5,4,1
1001000241,Dr. Jessica Lopez,Oncology,Miami,FL,REP-H197,Hunter Monroe,TERR-H01,2,9,5,6
1001000242,Dr. Carol Flores,Neurology,Chicago,IL,REP-H112,Hilary Vance,TERR-H12,2,5,3,4
1001000243,Dr. Robert Thompson,Family Practice,New York,NY,REP-H238,Hilda Sinclair,TERR-H06,3,6,4,4
1001000244,Dr. Rebecca Harris,Oncology,New York,NY,REP-H339,Holden Thornton,TERR-H11,2,8,6,5
1001000245,Dr. Michelle Brown,Oncology,Chicago,IL,REP-H314,Hazel Kensington,TERR-H10,2,10,6,0
1001000246,Dr. Betty Mitchell,Palliative Care,Columbus,OH,REP-H232,Hilary Sinclair,TERR-H12,3,2,2,1
1001000247,Dr. Sandra Baker,Neurology,Austin,TX,REP-H119,Holden Vance,TERR-H07,2,3,3,1
1001000248,Dr. Joseph Martin,Pain Management,Chicago,IL,REP-H111,Hugh Vance,TERR-H11,2,9,5,5
1001000249,Dr. Margaret Rivera,Pain Management,Houston,TX,REP-H227,Heather Sinclair,TERR-H07,2,12,10,4
1001000250,Dr. Elizabeth Moore,Anesthesiology,Atlanta,GA,REP-H243,Howard Conway,TERR-H11,1,14,7,4
1001000251,Dr. Linda Perez,Pain Management,Seattle,WA,REP-H136,Hayden Finch,TERR-H12,2,5,2,1
1001000252,Dr. Karen Young,Pain Management,Austin,TX,REP-H226,Holly Sinclair,TERR-H06,2,9,6,0
1001000253,Dr. Michelle Rivera,Anesthesiology,Las Vegas,NV,REP-H271,Hugh Mercer,TERR-H03,2,6,4,5
1001000254,Dr. Linda Jackson,Palliative Care,Las Vegas,NV,REP-H152,Hilary Sterling,TERR-H04,3,3,2,1
1001000255,Dr. Emily Young,Anesthesiology,Phoenix,AZ,REP-H105,Henry Vance,TERR-H05,2,6,5,0
1001000256,Dr. Donna Baker,Family Practice,Jacksonville,FL,REP-H201,Helen Bishop,TERR-H05,2,7,3,3
1001000257,Dr. Joseph Anderson,Anesthesiology,Charlotte,NC,REP-H278,Hilda Mercer,TERR-H10,2,6,5,2
1001000258,Dr. James Mitchell,Family Practice,Baltimore,MD,REP-H227,Heather Sinclair,TERR-H07,2,8,4,1
1001000259,Dr. Thomas Torres,Neurology,Las Vegas,NV,REP-H362,Harold Whitman,TERR-H10,2,6,4,2
1001000260,Dr. Betty Martinez,Pain Management,Detroit,MI,REP-H195,Homer Monroe,TERR-H11,2,9,5,0
1001000261,Dr. Robert Mitchell,Orthopedics,Columbus,OH,REP-H253,Hector Conway,TERR-H09,2,6,3,0
1001000262,Dr. Elizabeth Moore,Family Practice,New York,NY,REP-H322,Harold Thornton,TERR-H06,2,11,8,0
1001000263,Dr. Sandra Lewis,Pain Management,Miami,FL,REP-H193,Hector Monroe,TERR-H09,1,16,14,6
1001000264,Dr. John Walker,Pain Management,Miami,FL,REP-H237,Hunter Sinclair,TERR-H05,3,2,2,1
1001000265,Dr. Richard Young,Palliative Care,Las Vegas,NV,REP-H101,Helen Vance,TERR-H01,2,16,13,8
1001000266,Dr. Nancy Rivera,Palliative Care,Baltimore,MD,REP-H251,Hugh Conway,TERR-H07,2,11,6,1
1001000267,Dr. Elizabeth Sanchez,Anesthesiology,Philadelphia,PA,REP-H164,Hannah Hayes,TERR-H04,1,16,12,4
1001000268,Dr. William Walker,Pain Management,Baltimore,MD,REP-H128,Harvey Finch,TERR-H04,1,14,11,11
1001000269,Dr. Laura Brown,Internal Medicine,Columbus,OH,REP-H154,Hazel Sterling,TERR-H06,1,12,8,3
1001000270,Dr. Lisa Rodriguez,Neurology,Las Vegas,NV,REP-H129,Harrison Finch,TERR-H05,2,6,4,2
1001000271,Dr. Melissa Williams,Pain Management,Las Vegas,NV,REP-H183,Howard Monroe,TERR-H11,2,9,5,6
1001000272,Dr. Kathleen Jackson,Pain Management,Denver,CO,REP-H162,Harold Hayes,TERR-H02,3,2,2,2
1001000273,Dr. Dorothy Harris,Anesthesiology,Jacksonville,FL,REP-H151,Hugh Sterling,TERR-H03,3,6,5,3
1001000274,Dr. Barbara Hill,Palliative Care,Las Vegas,NV,REP-H384,Hannah Carrington,TERR-H08,2,5,3,1
1001000275,Dr. Margaret Gonzalez,Palliative Care,Baltimore,MD,REP-H368,Harvey Whitman,TERR-H04,2,7,5,2
1001000276,Dr. Michelle Martinez,Pain Management,Las Vegas,NV,REP-H106,Holly Vance,TERR-H06,2,9,5,4
1001000277,Dr. Michael Hernandez,Neurology,Miami,FL,REP-H110,Hope Vance,TERR-H10,2,4,3,0
1001000278,Dr. Thomas Brown,Pain Management,New York,NY,REP-H239,Holden Sinclair,TERR-H07,2,14,10,1
1001000279,Dr. Elizabeth Jackson,Anesthesiology,Denver,CO,REP-H143,Howard Sterling,TERR-H07,2,3,2,2
1001000280,Dr. Elizabeth Moore,Emergency Medicine,Chicago,IL,REP-H117,Hunter Vance,TERR-H05,1,11,9,8
1001000281,Dr. Rebecca Thomas,Neurology,Detroit,MI,REP-H102,Harold Vance,TERR-H02,1,11,9,2
1001000282,Dr. Donna Davis,Pain Management,Atlanta,GA,REP-H337,Hunter Thornton,TERR-H09,3,3,1,1
1001000283,Dr. Nancy Wilson,Oncology,Detroit,MI,REP-H373,Hector Whitman,TERR-H09,2,11,9,3
1001000284,Dr. Carol Hall,Pain Management,Las Vegas,NV,REP-H284,Hannah Gallagher,TERR-H04,2,13,7,6
1001000285,Dr. Joseph Flores,Oncology,Austin,TX,REP-H213,Hector Bishop,TERR-H05,2,11,8,7
1001000286,Dr. Mary Smith,Anesthesiology,Denver,CO,REP-H184,Hannah Monroe,TERR-H12,2,7,6,1
1001000287,Dr. John Thompson,Pain Management,Las Vegas,NV,REP-H160,Hattie Sterling,TERR-H12,2,3,2,1
1001000288,Dr. Carol Hernandez,Palliative Care,Detroit,MI,REP-H276,Hayden Mercer,TERR-H08,2,8,4,5
1001000289,Dr. Jessica Hall,Neurology,Philadelphia,PA,REP-H264,Hannah Mercer,TERR-H08,2,3,2,1
1001000290,Dr. Nancy King,Oncology,Baltimore,MD,REP-H293,Hector Gallagher,TERR-H01,3,3,2,0
1001000291,Dr. James Smith,Pain Management,Los Angeles,CA,REP-H118,Hilda Vance,TERR-H06,3,3,3,1
1001000292,Dr. Elizabeth Allen,Oncology,Jacksonville,FL,REP-H129,Harrison Finch,TERR-H05,2,8,7,2
1001000293,Dr. Rebecca Hill,Pain Management,Jacksonville,FL,REP-H381,Helen Carrington,TERR-H05,2,2,2,1
1001000294,Dr. David Moore,Palliative Care,Nashville,TN,REP-H279,Holden Mercer,TERR-H11,1,14,10,8
1001000295,Dr. Mary Nguyen,Pain Management,Jacksonville,FL,REP-H348,Harvey Blackwood,TERR-H08,2,10,5,1
1001000296,Dr. Sharon Nguyen,Anesthesiology,Austin,TX,REP-H356,Hayden Blackwood,TERR-H04,2,12,7,6
1001000297,Dr. John Hernandez,Palliative Care,Boston,MA,REP-H166,Holly Hayes,TERR-H06,3,2,2,3
1001000298,Dr. Jennifer Hernandez,Anesthesiology,Los Angeles,CA,REP-H209,Harrison Bishop,TERR-H01,2,11,7,7
1001000299,Dr. John Young,Pain Management,Atlanta,GA,REP-H160,Hattie Sterling,TERR-H12,3,3,2,2
1001000300,Dr. John Sanchez,Anesthesiology,Chicago,IL,REP-H294,Hazel Gallagher,TERR-H02,3,3,1,2
1001000301,Dr. Charles Hernandez,Neurology,Philadelphia,PA,REP-H297,Hunter Gallagher,TERR-H05,2,7,5,3
1001000302,Dr. Carol Thompson,Family Practice,Philadelphia,PA,REP-H299,Holden Gallagher,TERR-H07,2,9,7,0
1001000303,Dr. Melissa Hill,Oncology,Baltimore,MD,REP-H310,Hope Kensington,TERR-H06,1,16,10,1
1001000304,Dr. Nancy Taylor,Neurology,Austin,TX,REP-H194,Hazel Monroe,TERR-H10,1,13,11,6
1001000305,Dr. Richard Lewis,Internal Medicine,Atlanta,GA,REP-H247,Heather Conway,TERR-H03,1,11,9,2
1001000306,Dr. Charles Smith,Oncology,Las Vegas,NV,REP-H135,Homer Finch,TERR-H11,1,12,5,3
1001000307,Dr. Deborah Miller,Pain Management,Boston,MA,REP-H260,Hattie Conway,TERR-H04,2,14,10,8
1001000308,Dr. Lisa Baker,Pain Management,Los Angeles,CA,REP-H343,Howard Blackwood,TERR-H03,2,5,3,3
1001000309,Dr. Amanda Perez,Pain Management,Denver,CO,REP-H111,Hugh Vance,TERR-H11,2,5,4,2
1001000310,Dr. Deborah Jackson,Neurology,Nashville,TN,REP-H234,Hazel Sinclair,TERR-H02,2,4,3,0
1001000311,Dr. Lisa Lopez,Family Practice,Phoenix,AZ,REP-H119,Holden Vance,TERR-H07,1,6,5,6
1001000312,Dr. Sarah Nguyen,Pain Management,Portland,OR,REP-H287,Heather Gallagher,TERR-H07,2,2,2,1
1001000313,Dr. Michael Sanchez,Pain Management,Los Angeles,CA,REP-H179,Holden Hayes,TERR-H07,3,3,2,2
1001000314,Dr. Elizabeth Moore,Anesthesiology,Phoenix,AZ,REP-H209,Harrison Bishop,TERR-H01,2,5,3,0
1001000315,Dr. Nancy Hill,Pain Management,Baltimore,MD,REP-H290,Hope Gallagher,TERR-H10,2,7,4,2
1001000316,Dr. Kathleen Rodriguez,Neurology,Philadelphia,PA,REP-H363,Howard Whitman,TERR-H11,2,3,2,1
1001000317,Dr. Jessica Taylor,Pain Management,Nashville,TN,REP-H249,Harrison Conway,TERR-H05,2,8,7,2
1001000318,Dr. Sarah Miller,Palliative Care,Nashville,TN,REP-H321,Helen Thornton,TERR-H05,2,6,3,4
1001000319,Dr. William Clark,Pain Management,Atlanta,GA,REP-H131,Hugh Finch,TERR-H07,2,13,5,0
1001000320,Dr. Stephanie Allen,Oncology,Houston,TX,REP-H298,Hilda Gallagher,TERR-H06,2,9,7,4
1001000321,Dr. Laura Wright,Family Practice,Houston,TX,REP-H217,Hunter Bishop,TERR-H09,2,9,7,7
1001000322,Dr. Richard Nelson,Family Practice,Baltimore,MD,REP-H323,Howard Thornton,TERR-H07,2,5,3,4
1001000323,Dr. Linda Lee,Pain Management,Jacksonville,FL,REP-H168,Harvey Hayes,TERR-H08,2,11,7,2
1001000324,Dr. Robert Allen,Oncology,Seattle,WA,REP-H300,Hattie Gallagher,TERR-H08,2,7,6,2
1001000325,Dr. Richard Flores,Oncology,Chicago,IL,REP-H239,Holden Sinclair,TERR-H07,2,9,7,6
1001000326,Dr. Emily Lewis,Palliative Care,Nashville,TN,REP-H196,Hayden Monroe,TERR-H12,2,8,4,3
1001000327,Dr. Sharon Jackson,Anesthesiology,Denver,CO,REP-H290,Hope Gallagher,TERR-H10,2,6,5,1
1001000328,Dr. Dorothy White,Family Practice,Houston,TX,REP-H270,Hope Mercer,TERR-H02,2,5,4,0
1001000329,Dr. Barbara Hill,Anesthesiology,Denver,CO,REP-H179,Holden Hayes,TERR-H07,2,14,10,0
1001000330,Dr. Melissa Allen,Pain Management,Houston,TX,REP-H341,Helen Blackwood,TERR-H01,2,7,6,2
1001000331,Dr. Ashley Torres,Oncology,Nashville,TN,REP-H188,Harvey Monroe,TERR-H04,2,13,7,5
1001000332,Dr. Michael Perez,Oncology,Las Vegas,NV,REP-H312,Hilary Kensington,TERR-H08,2,5,3,1
1001000333,Dr. Susan Williams,Palliative Care,Detroit,MI,REP-H234,Hazel Sinclair,TERR-H02,3,4,2,1
1001000334,Dr. Patricia Harris,Palliative Care,Chicago,IL,REP-H130,Hope Finch,TERR-H06,2,5,3,3
1001000335,Dr. Sharon Torres,Neurology,Columbus,OH,REP-H303,Howard Kensington,TERR-H11,2,9,5,2
1001000336,Dr. Carol Robinson,Palliative Care,Denver,CO,REP-H221,Helen Sinclair,TERR-H01,2,11,7,4
1001000337,Dr. Linda Lewis,Family Practice,Portland,OR,REP-H301,Helen Kensington,TERR-H09,2,8,6,4
1001000338,Dr. Mary Jackson,Oncology,Miami,FL,REP-H285,Henry Gallagher,TERR-H05,2,10,8,6
1001000339,Dr. Kathleen Carter,Pain Management,Phoenix,AZ,REP-H184,Hannah Monroe,TERR-H12,3,7,4,0
1001000340,Dr. Sharon Hall,Anesthesiology,Columbus,OH,REP-H152,Hilary Sterling,TERR-H04,2,10,6,3
1001000341,Dr. Margaret Wright,Pain Management,Jacksonville,FL,REP-H214,Hazel Bishop,TERR-H06,2,4,3,2
1001000342,Dr. Kathleen Flores,Internal Medicine,Houston,TX,REP-H298,Hilda Gallagher,TERR-H06,2,2,1,2
1001000343,Dr. Joseph Smith,Pain Management,Portland,OR,REP-H324,Hannah Thornton,TERR-H08,2,9,7,6
1001000344,Dr. Rebecca Lopez,Family Practice,Nashville,TN,REP-H353,Hector Blackwood,TERR-H01,2,6,4,0
1001000345,Dr. Jennifer Sanchez,Pain Management,Nashville,TN,REP-H235,Homer Sinclair,TERR-H03,2,8,5,4
1001000346,Dr. Deborah Nelson,Neurology,Austin,TX,REP-H243,Howard Conway,TERR-H11,1,12,7,8
1001000347,Dr. Deborah Martinez,Anesthesiology,Los Angeles,CA,REP-H206,Holly Bishop,TERR-H10,2,11,8,9
1001000348,Dr. Ashley Wilson,Pain Management,Los Angeles,CA,REP-H229,Harrison Sinclair,TERR-H09,2,10,7,1
1001000349,Dr. Dorothy Thompson,Internal Medicine,Denver,CO,REP-H262,Harold Mercer,TERR-H06,2,4,3,2
1001000350,Dr. John Hernandez,Anesthesiology,Los Angeles,CA,REP-H201,Helen Bishop,TERR-H05,2,5,4,0
1001000351,Dr. Elizabeth Miller,Oncology,Seattle,WA,REP-H262,Harold Mercer,TERR-H06,2,9,6,5
1001000352,Dr. Sarah Rivera,Pain Management,Los Angeles,CA,REP-H350,Hope Blackwood,TERR-H10,2,6,5,6
1001000353,Dr. Sandra Torres,Palliative Care,Nashville,TN,REP-H180,Hattie Hayes,TERR-H08,1,11,8,7
1001000354,Dr. Stephanie Davis,Pain Management,Portland,OR,REP-H371,Hugh Whitman,TERR-H07,3,2,1,0
1001000355,Dr. Margaret Thomas,Pain Management,Chicago,IL,REP-H321,Helen Thornton,TERR-H05,2,2,2,2
1001000356,Dr. Jennifer White,Family Practice,Baltimore,MD,REP-H308,Harvey Kensington,TERR-H04,3,8,6,1
1001000357,Dr. Margaret Miller,Pain Management,Las Vegas,NV,REP-H277,Hunter Mercer,TERR-H09,3,7,4,1
1001000358,Dr. Barbara Walker,Internal Medicine,Baltimore,MD,REP-H261,Helen Mercer,TERR-H05,2,4,3,1
1001000359,Dr. Sandra Wright,Palliative Care,Detroit,MI,REP-H179,Holden Hayes,TERR-H07,3,4,3,3
1001000360,Dr. Margaret Scott,Neurology,Detroit,MI,REP-H218,Hilda Bishop,TERR-H10,2,2,1,2
1001000361,Dr. Patricia Rivera,Palliative Care,New York,NY,REP-H317,Hunter Kensington,TERR-H01,3,5,3,1
1001000362,Dr. Betty Walker,Neurology,Charlotte,NC,REP-H211,Hugh Bishop,TERR-H03,2,10,6,1
1001000363,Dr. Thomas Walker,Internal Medicine,Phoenix,AZ,REP-H315,Homer Kensington,TERR-H11,2,4,2,3
1001000364,Dr. Mary Sanchez,Oncology,Boston,MA,REP-H267,Heather Mercer,TERR-H11,2,5,2,3
1001000365,Dr. Thomas Johnson,Palliative Care,Chicago,IL,REP-H247,Heather Conway,TERR-H03,1,14,12,10
1001000366,Dr. Susan Sanchez,Pain Management,Las Vegas,NV,REP-H197,Hunter Monroe,TERR-H01,3,2,1,2
1001000367,Dr. Linda Wright,Internal Medicine,Detroit,MI,REP-H313,Hector Kensington,TERR-H09,2,6,3,1
1001000368,Dr. Jennifer Clark,Anesthesiology,Las Vegas,NV,REP-H323,Howard Thornton,TERR-H07,1,16,15,4
1001000369,Dr. Linda Brown,Anesthesiology,Charlotte,NC,REP-H107,Heather Vance,TERR-H07,2,6,3,1
1001000370,Dr. Nancy Robinson,Internal Medicine,Nashville,TN,REP-H309,Harrison Kensington,TERR-H05,2,7,2,2
1001000371,Dr. Melissa Torres,Anesthesiology,New York,NY,REP-H328,Harvey Thornton,TERR-H12,2,7,6,6
1001000372,Dr. Michelle Hill,Neurology,Chicago,IL,REP-H316,Hayden Kensington,TERR-H12,2,7,5,6
1001000373,Dr. Melissa Flores,Palliative Care,Austin,TX,REP-H178,Hilda Hayes,TERR-H06,2,10,9,8
1001000374,Dr. Jennifer Torres,Neurology,Chicago,IL,REP-H317,Hunter Kensington,TERR-H01,2,8,5,3
1001000375,Dr. Dorothy Thomas,Orthopedics,Chicago,IL,REP-H345,Henry Blackwood,TERR-H05,3,2,2,3
1001000376,Dr. Sarah Ramirez,Palliative Care,Portland,OR,REP-H379,Holden Whitman,TERR-H03,2,6,4,2
1001000377,Dr. Donna Sanchez,Family Practice,Atlanta,GA,REP-H140,Hattie Finch,TERR-H04,2,5,3,1
1001000378,Dr. Nancy Lopez,Family Practice,Atlanta,GA,REP-H159,Holden Sterling,TERR-H11,2,2,1,1
1001000379,Dr. Lisa Gonzalez,Pain Management,Denver,CO,REP-H146,Holly Sterling,TERR-H10,2,10,6,6
1001000380,Dr. Jessica Wright,Palliative Care,Charlotte,NC,REP-H113,Hector Vance,TERR-H01,2,7,5,2
1001000381,Dr. Melissa Hernandez,Pain Management,Portland,OR,REP-H102,Harold Vance,TERR-H02,3,10,9,1
1001000382,Dr. Lisa Campbell,Pain Management,Seattle,WA,REP-H172,Hilary Hayes,TERR-H12,2,15,7,2
1001000383,Dr. Jessica Wilson,Anesthesiology,Jacksonville,FL,REP-H274,Hazel Mercer,TERR-H06,2,9,6,5
1001000384,Dr. Joseph Thomas,Palliative Care,Miami,FL,REP-H331,Hugh Thornton,TERR-H03,3,3,2,1
1001000385,Dr. William Clark,Anesthesiology,New York,NY,REP-H233,Hector Sinclair,TERR-H01,1,9,8,9
1001000386,Dr. Joseph Young,Pain Management,Nashville,TN,REP-H191,Hugh Monroe,TERR-H07,2,8,7,2
1001000387,Dr. Michael Torres,Oncology,New York,NY,REP-H267,Heather Mercer,TERR-H11,3,7,5,5
1001000388,Dr. Kimberly King,Orthopedics,Portland,OR,REP-H365,Henry Whitman,TERR-H01,2,8,6,6
1001000389,Dr. Sarah Walker,Pain Management,Portland,OR,REP-H237,Hunter Sinclair,TERR-H05,2,9,7,5
1001000390,Dr. Sandra Gonzalez,Palliative Care,Detroit,MI,REP-H386,Holly Carrington,TERR-H10,2,7,5,6
1001000391,Dr. Patricia Taylor,Oncology,Los Angeles,CA,REP-H374,Hazel Whitman,TERR-H10,2,4,4,4
1001000392,Dr. Patricia Robinson,Palliative Care,Jacksonville,FL,REP-H209,Harrison Bishop,TERR-H01,2,3,3,0
1001000393,Dr. Elizabeth Perez,Anesthesiology,Nashville,TN,REP-H257,Hunter Conway,TERR-H01,2,2,1,0
1001000394,Dr. Amanda Wilson,Orthopedics,Philadelphia,PA,REP-H272,Hilary Mercer,TERR-H04,2,3,2,2
1001000395,Dr. Susan Allen,Pain Management,Las Vegas,NV,REP-H270,Hope Mercer,TERR-H02,1,16,10,7
1001000396,Dr. Linda Hill,Anesthesiology,Columbus,OH,REP-H261,Helen Mercer,TERR-H05,1,16,14,7
1001000397,Dr. Jessica Davis,Palliative Care,Austin,TX,REP-H330,Hope Thornton,TERR-H02,2,8,5,6
1001000398,Dr. Jessica Martin,Neurology,Phoenix,AZ,REP-H140,Hattie Finch,TERR-H04,2,8,6,0
1001000399,Dr. William Martinez,Psychiatry,Seattle,WA,REP-H176,Hayden Hayes,TERR-H04,2,2,1,2
1001000400,Dr. Charles Gonzalez,Oncology,Jacksonville,FL,REP-H310,Hope Kensington,TERR-H06,2,12,9,10
1001000401,Dr. Richard White,Palliative Care,Portland,OR,REP-H198,Hilda Monroe,TERR-H02,1,8,5,0
1001000402,Dr. Kathleen Brown,Pain Management,Miami,FL,REP-H251,Hugh Conway,TERR-H07,1,14,9,5
1001000403,Dr. Kimberly Miller,Palliative Care,Houston,TX,REP-H193,Hector Monroe,TERR-H09,2,10,7,6
1001000404,Dr. Linda Torres,Internal Medicine,Charlotte,NC,REP-H236,Hayden Sinclair,TERR-H04,2,2,1,1
1001000405,Dr. Barbara King,Anesthesiology,Los Angeles,CA,REP-H300,Hattie Gallagher,TERR-H08,2,11,6,3
1001000406,Dr. Lisa Perez,Internal Medicine,Miami,FL,REP-H326,Holly Thornton,TERR-H10,2,3,2,0
1001000407,Dr. Dorothy Brown,Pain Management,Houston,TX,REP-H206,Holly Bishop,TERR-H10,3,7,5,2
1001000408,Dr. Barbara Adams,Neurology,Miami,FL,REP-H369,Harrison Whitman,TERR-H05,2,11,8,1
1001000409,Dr. Sharon Wright,Pain Management,Boston,MA,REP-H134,Hazel Finch,TERR-H10,2,3,2,0
1001000410,Dr. Jennifer Green,Oncology,Atlanta,GA,REP-H320,Hattie Kensington,TERR-H04,3,3,3,3
1001000411,Dr. Carol Jones,Psychiatry,Philadelphia,PA,REP-H282,Harold Gallagher,TERR-H02,2,4,2,1
1001000412,Dr. Carol Jones,Palliative Care,Nashville,TN,REP-H122,Harold Finch,TERR-H10,3,2,2,0
1001000413,Dr. Jennifer Torres,Anesthesiology,Boston,MA,REP-H222,Harold Sinclair,TERR-H02,2,8,6,7
1001000414,Dr. Robert Johnson,Internal Medicine,Austin,TX,REP-H286,Holly Gallagher,TERR-H06,2,5,4,5
1001000415,Dr. Charles Harris,Anesthesiology,New York,NY,REP-H318,Hilda Kensington,TERR-H02,1,12,10,0
1001000416,Dr. Melissa Hall,Oncology,Miami,FL,REP-H304,Hannah Kensington,TERR-H12,1,10,5,1
1001000417,Dr. Carol Lee,Anesthesiology,Columbus,OH,REP-H382,Harold Carrington,TERR-H06,2,8,5,2
1001000418,Dr. Joseph Wilson,Oncology,Denver,CO,REP-H275,Homer Mercer,TERR-H07,2,9,7,8
1001000419,Dr. Elizabeth Garcia,Palliative Care,Boston,MA,REP-H337,Hunter Thornton,TERR-H09,1,15,13,7
1001000420,Dr. Amanda Miller,Oncology,Miami,FL,REP-H316,Hayden Kensington,TERR-H12,3,2,1,1
1001000421,Dr. Carol Robinson,Neurology,Atlanta,GA,REP-H294,Hazel Gallagher,TERR-H02,2,8,5,0
1001000422,Dr. Jennifer Scott,Palliative Care,Baltimore,MD,REP-H341,Helen Blackwood,TERR-H01,2,13,11,4
1001000423,Dr. Jessica Jackson,Internal Medicine,Philadelphia,PA,REP-H335,Homer Thornton,TERR-H07,1,10,7,6
1001000424,Dr. Lisa Baker,Family Practice,New York,NY,REP-H174,Hazel Hayes,TERR-H02,3,2,1,2
1001000425,Dr. Sandra Nguyen,Oncology,Las Vegas,NV,REP-H133,Hector Finch,TERR-H09,2,7,3,3
1001000426,Dr. Charles Clark,Neurology,Portland,OR,REP-H379,Holden Whitman,TERR-H03,2,10,9,6
1001000427,Dr. Laura Green,Pain Management,Charlotte,NC,REP-H181,Helen Monroe,TERR-H09,2,6,5,4
1001000428,Dr. Joseph Taylor,Anesthesiology,Houston,TX,REP-H342,Harold Blackwood,TERR-H02,2,9,4,4
1001000429,Dr. Amanda Torres,Pain Management,Chicago,IL,REP-H123,Howard Finch,TERR-H11,3,6,4,3
1001000430,Dr. Joseph Scott,Pain Management,Seattle,WA,REP-H163,Howard Hayes,TERR-H03,2,3,1,2
1001000431,Dr. Michelle Scott,Pain Management,Atlanta,GA,REP-H153,Hector Sterling,TERR-H05,2,16,9,3
1001000432,Dr. Michelle Gonzalez,Family Practice,Miami,FL,REP-H376,Hayden Whitman,TERR-H12,2,6,4,3
1001000433,Dr. Thomas Scott,Family Practice,Nashville,TN,REP-H366,Holly Whitman,TERR-H02,1,7,3,2
1001000434,Dr. Sandra Mitchell,Pain Management,Denver,CO,REP-H136,Hayden Finch,TERR-H12,1,11,9,9
1001000435,Dr. Jessica Martinez,Pain Management,Chicago,IL,REP-H245,Henry Conway,TERR-H01,1,13,10,1
1001000436,Dr. John Smith,Neurology,Miami,FL,REP-H364,Hannah Whitman,TERR-H12,1,13,11,2
1001000437,Dr. Thomas Wilson,Palliative Care,Charlotte,NC,REP-H252,Hilary Conway,TERR-H08,1,16,13,1
1001000438,Dr. Melissa Martin,Psychiatry,Las Vegas,NV,REP-H140,Hattie Finch,TERR-H04,2,5,2,1
1001000439,Dr. Stephanie Walker,Anesthesiology,Denver,CO,REP-H151,Hugh Sterling,TERR-H03,2,13,10,11
1001000440,Dr. Patricia Thompson,Internal Medicine,New York,NY,REP-H263,Howard Mercer,TERR-H07,2,8,5,4
1001000441,Dr. Dorothy Taylor,Palliative Care,Houston,TX,REP-H343,Howard Blackwood,TERR-H03,2,9,5,1
1001000442,Dr. Barbara Miller,Orthopedics,Philadelphia,PA,REP-H336,Hayden Thornton,TERR-H08,2,3,2,0
1001000443,Dr. Susan Williams,Pain Management,Chicago,IL,REP-H362,Harold Whitman,TERR-H10,3,3,2,0
1001000444,Dr. Barbara Jackson,Oncology,Charlotte,NC,REP-H233,Hector Sinclair,TERR-H01,2,15,11,8
1001000445,Dr. Michelle Smith,Oncology,Miami,FL,REP-H105,Henry Vance,TERR-H05,3,5,3,2
1001000446,Dr. Melissa Moore,Family Practice,Los Angeles,CA,REP-H173,Hector Hayes,TERR-H01,2,4,2,3
1001000447,Dr. Jennifer Moore,Pain Management,Nashville,TN,REP-H215,Homer Bishop,TERR-H07,2,8,6,5
1001000448,Dr. Joseph Mitchell,Oncology,Detroit,MI,REP-H193,Hector Monroe,TERR-H09,2,11,8,1
1001000449,Dr. Karen Hall,Oncology,Las Vegas,NV,REP-H212,Hilary Bishop,TERR-H04,1,16,12,13
1001000450,Dr. Nancy Garcia,Palliative Care,Columbus,OH,REP-H385,Henry Carrington,TERR-H09,2,6,5,4
1001000451,Dr. Dorothy Walker,Anesthesiology,Austin,TX,REP-H208,Harvey Bishop,TERR-H12,2,6,4,3
